Stock,PE,Marketcap,Beta,Sector
ALNA,-2.11,83055840,0.9259230893257556,Health Technology
ALNY,-8.57,7193378240,1.644085634987956,Health Technology
ALO,-3.45,50891966,0.03612933618580679,Non-Energy Minerals
ALOT,30.98,179065120,0.47838868710208476,Electronic Technology
ALPN,-1.67,91740740,0.2582153916027765,Health Technology
ALRM,138.18,2818297230,1.308785170917295,Technology Services
ALRN,-0.47,26714000,1.4605202770740606,Health Technology
ALSK,12.17,88745250,0.7112921713500151,Communications
ALSN,8.17,4979382560,0.9699152898303898,Producer Manufacturing
ALT,-0.16,25704540,1.948164881577178,Commercial Services
ALTM,-424.07,1488174820,0.6077524570075413,Finance
ALTR,246.03,2712784130,1.5789731039948383,Technology Services
ALTS,,,0.06463366572873602,Miscellaneous
ALTY,,,0.3789841074397988,Miscellaneous
ALV,30.58,5370443250,1.0662435064046079,Producer Manufacturing
ALX,31.19,1879376000,0.340669405837299,Finance
ALXN,61.28,25491262160,1.459497332022048,Health Technology
ALYA,,,-0.3811823466053864,Technology Services
AM,41.73,2289172600,1.0261779968681342,Industrial Services
AMAG,-1.49,321799510,1.379591135753866,Health Technology
AMAL,12.81,524231400,-0.01415230315135796,Finance
AMAT,10.75,36217902450,1.5192330493518607,Electronic Technology
AMBA,-40.82,1240945940,1.4612525537152348,Electronic Technology
AMBC,-4.26,691919200,0.6346661944062477,Finance
AMBCW,,,-0.17295820999494713,Finance
AMBO,14.05,,0.10835029160086533,Consumer Services
AMBR,-33.87,369138220,0.5699977497642749,Technology Services
AMC,-47.67,1244036552,1.0877892099200173,Consumer Services
AMCA,,,0.4573520791318136,Miscellaneous
AMCI,,271791087,-0.1877210478516262,Finance
AMCIU,,,0.03200221522907586,Finance
AMCIW,,,-9.089357608981834,Finance
AMCN,-0.24,,0.040952964866865116,Commercial Services
AMCX,6.95,2997863700,0.7738809349258788,Consumer Services
AMD,99.56,29646656000,2.2778457814342126,Electronic Technology
AME,23.49,18657899490,1.1000775472840871,Producer Manufacturing
AMED,29.38,3598973950,1.3612255224549679,Health Services
AMEH,65.78,638101120,1.0062983015906868,Health Services
AMG,-37.55,4291500180,1.2040747614983682,Finance
AMGN,13.21,101676331200,0.908055070997214,Health Technology
AMH,211.71,7316093801,0.39329619221361256,Finance
AMID,-7.31,283145200,0.8325135546684705,Industrial Services
AMJ,,,0.7943023519329063,Miscellaneous
AMJL,,,1.3604771107902722,Miscellaneous
AMKR,16.38,1552782960,1.5581875921749018,Electronic Technology
AMLP,,,0.8802327108589078,Miscellaneous
AMN,17.11,2258272800,0.9422176670323869,Commercial Services
AMNB,13.34,305444160,0.6264163240140781,Finance
AMOM,,,,
AMOT,18.6,311939290,1.013390209085218,Electronic Technology
AMOV,17.63,,0.5626948558865986,Communications
AMP,10.41,18509549920,1.397911039783041,Finance
AMPE,6.95,57786560,1.3385804109342119,Health Technology
AMPH,380.43,906001250,0.9685288787514509,Health Technology
AMR,-1.07,55189351,1.6465980945826064,Energy Minerals
AMRB,15.5,73600000,-0.17191208447693593,Finance
AMRC,18.97,702858500,1.2417236787138413,Industrial Services
AMRH,-0.63,15598580,1.9238029050945804,Consumer Durables
AMRHW,,,-1.2251649154178905,Consumer Durables
AMRK,7875,88590600,0.19291343350094686,Finance
AMRN,-46.32,,1.0458104971639388,Health Technology
AMRS,-0.94,259423140,1.6361983608281436,Process Industries
AMRWW,,,0.5785291978541528,Energy Minerals
AMRX,-13.98,2252936920,1.4710815218392557,Health Technology
